sample	contig	coverage
bc2113	contig_346	3.99378
bc2113	contig_59	3.46322
bc2113	contig_3709	4.48177
bc2113	contig_347	3.96825
bc2113	contig_348	3.69696
bc2113	contig_349	5.20231
bc2113	contig_4570	5.40871
bc2113	contig_4571	5.23286
bc2113	contig_4572	6.27322
bc2113	contig_4573	5.22789
bc2113	contig_4574	6.70983
bc2113	contig_4576	8.77831
bc2113	contig_4577	9.30517
bc2113	contig_4578	5.80614
bc2113	contig_4579	6.69824
bc2113	contig_800	3.62154
bc2113	contig_801	8.14236
bc2113	contig_802	2.28609
bc2113	contig_803	5.79989
bc2113	contig_804	2.73739
bc2113	contig_805	4.95975
bc2113	contig_806	3.45071
bc2113	contig_807	3.01642
bc2113	contig_808	5.41236
bc2113	contig_809	3.33191
bc2113	contig_3250	3.42755
bc2113	contig_3253	5.82088
bc2113	contig_3256	2.79895
bc2113	contig_3257	2.71743
bc2113	contig_3258	4.95998
bc2113	contig_3259	2.5748
bc2113	contig_60	2.32014
bc2113	contig_3710	3.53071
bc2113	contig_61	4.54119
bc2113	contig_3711	3.38799
bc2113	contig_62	2.02818
bc2113	contig_3712	4.54914
bc2113	contig_350	3.76475
bc2113	contig_63	3.6585
bc2113	contig_3713	3.1712
bc2113	contig_351	7.01462
bc2113	contig_64	3.5158
bc2113	contig_3714	3.01496
bc2113	contig_352	3.20516
bc2113	contig_65	3.84651
bc2113	contig_3715	2.20188
bc2113	contig_353	4.51927
bc2113	contig_66	2.35657
bc2113	contig_3716	2.60921
bc2113	contig_354	3.28304
bc2113	contig_67	3.24435
bc2113	contig_3717	4.78644
bc2113	contig_3718	4.54616
bc2113	contig_69	29.385
bc2113	contig_3719	2.50229
bc2113	contig_357	3.75427
bc2113	contig_358	3.77366
bc2113	contig_359	4.98695
bc2113	contig_4580	7.28475
bc2113	contig_4581	5.55177
bc2113	contig_4582	4.69637
bc2113	contig_4583	5.56438
bc2113	contig_4584	4.97242
bc2113	contig_4585	7.62442
bc2113	contig_4586	11.0517
bc2113	contig_4587	7.62675
bc2113	contig_4588	9.96434
bc2113	contig_4589	3.36826
bc2113	contig_810	4.81426
bc2113	contig_811	6.73779
bc2113	contig_812	9.1751
bc2113	contig_813	3.14781
bc2113	contig_814	3.1299
bc2113	contig_815	5.80232
bc2113	contig_816	3.48851
bc2113	contig_817	3.86686
bc2113	contig_818	5.0772
bc2113	contig_819	2.78974
bc2113	contig_3260	4.2685
bc2113	contig_3261	3.65787
bc2113	contig_3262	2.55175
bc2113	contig_3263	4.9658
bc2113	contig_3264	6.26704
bc2113	contig_3265	4.01118
bc2113	contig_3266	4.61099
bc2113	contig_3267	2.49205
bc2113	contig_3268	4.72289
bc2113	contig_3269	3.80339
bc2113	contig_3720	3.59017
